ComplaintID,ProductCategory,ComplaintReason,UnitsSold,SalesValue,ComplaintCount
37678,Kitchenware,Missing Item,2,27905,1
37679,Bedding,Poor Quality,2,26372,1
37680,Jewelry,Damage on Delivery,3,47014,1
37681,Books,Damage on Delivery,1,30035,1
37682,Beauty Products,Wrong Size,7,42430,1
37683,Stationery,Missing Item,9,34811,1
37684,Beauty Products,Defective Item,3,5712,1
37685,Jewelry,Poor Quality,3,44665,1
37686,Home Appliances,Poor Quality,3,45154,1
37687,Groceries,Missing Item,5,8288,1
37688,Stationery,Missing Item,3,25944,1
37689,Kitchenware,Missing Item,1,42292,1
37690,Home Appliances,Incorrect Item Sent,6,23224,1
37691,Electronics,Defective Item,6,42334,1
37692,Footwear,Missing Item,6,46909,1
37693,Bedding,Poor Quality,3,7990,1
37694,Furniture,Late Delivery,3,8810,1
37695,Clothing,Incorrect Item Sent,7,10242,1
37696,Furniture,Missing Item,1,27606,1
37697,Beauty Products,Poor Quality,9,27197,1
37698,Kitchenware,Missing Item,1,12472,1
37699,Footwear,Poor Quality,7,25569,1
37700,Stationery,Poor Quality,8,22085,1
37701,Beauty Products,Damage on Delivery,9,44180,1
37702,Furniture,Defective Item,1,37184,1
37703,Footwear,Poor Quality,2,27420,1
37704,Footwear,Missing Item,1,9450,1
37705,Jewelry,Wrong Size,7,35813,1
37706,Kitchenware,Poor Quality,2,34606,1
37707,Clothing,Defective Item,1,5088,1
37708,Groceries,Late Delivery,1,27587,1
37709,Footwear,Missing Item,7,12780,1
37710,Toys,Packaging Issues,4,40780,1
37711,Toys,Defective Item,8,13306,1
37712,Stationery,Missing Item,8,49996,1
37713,Stationery,Poor Quality,8,9686,1
37714,Kitchenware,Poor Quality,8,40291,1
37715,Garden Tools,Late Delivery,1,41322,1
37716,Kitchenware,Poor Quality,3,21788,1
37717,Groceries,Missing Item,7,43930,1
37718,Home Appliances,Product Not As Described,1,23128,1
37719,Clothing,Late Delivery,1,30616,1
37720,Home Appliances,Poor Quality,4,47717,1
37721,Bedding,Product Not As Described,2,33946,1
37722,Toys,Packaging Issues,3,32944,1
37723,Sports Equipment,Damage on Delivery,5,28687,1
37724,Stationery,Missing Item,6,48093,1
37725,Furniture,Incorrect Item Sent,8,5239,1
37726,Stationery,Poor Quality,4,19366,1
37727,Kitchenware,Poor Quality,7,49487,1
37728,Footwear,Missing Item,9,45038,1
37729,Stationery,Missing Item,9,9665,1
37730,Stationery,Poor Quality,1,11296,1
37731,Beauty Products,Incorrect Item Sent,3,40642,1
37732,Stationery,Missing Item,8,38738,1
37733,Beauty Products,Packaging Issues,3,15661,1
37734,Books,Late Delivery,1,5541,1
37735,Kitchenware,Missing Item,4,20509,1
37736,Kitchenware,Missing Item,7,14372,1
